movie_id,name,trailer_url,poster_url,date_released
39,EuroTrip,https://www.youtube.com/embed/SeoX8MZd81E,https://upload.wikimedia.org/wikipedia/en/d/db/Eurotrip_movie.jpg,2004-02-04
40,Sex Tape,https://www.youtube.com/embed/MPXtf621NxI,https://upload.wikimedia.org/wikipedia/en/8/86/Sex_Tape_%28film%29.jpg,2017-07-18
41,Two Night Stand,https://www.youtube.com/embed/VcSosCe0B-A,https://upload.wikimedia.org/wikipedia/en/a/a7/Two_night_stand.jpg,2014-09-26
42,The Boy Next Door,https://www.youtube.com/embed/MgbBwovOOoc,https://upload.wikimedia.org/wikipedia/en/a/a7/The_Boy_Next_Door_2015.png,2015-01-23
43,Fifty Shades of Grey,https://www.youtube.com/embed/SfZWFDs0LxA,https://upload.wikimedia.org/wikipedia/en/5/5e/50ShadesofGreyCoverArt.jpg,2011-06-20
44,Old School,https://www.youtube.com/embed/ybNn__9pnms,https://upload.wikimedia.org/wikipedia/en/2/21/Old_s_poster.jpg,2003-02-21
45,Superbad,https://www.youtube.com/embed/MNpoTxeydiY,https://upload.wikimedia.org/wikipedia/en/8/8b/Superbad_Poster.png,2007-08-17
46,This Is the End,https://www.youtube.com/embed/Yma-g4gTwlE,https://upload.wikimedia.org/wikipedia/en/3/36/This-is-the-End-Film-Poster.jpg,2013-06-14
47,American Wedding,https://www.youtube.com/embed/YmIIHsPa2F8,https://upload.wikimedia.org/wikipedia/en/8/8d/American_Wedding_movie.jpg,2003-08-01
48,Don Jon,https://www.youtube.com/embed/2A63Ly0Pvpk,https://upload.wikimedia.org/wikipedia/en/f/ff/Don_Jon_Poster.jpg,2013-09-27
49,Friends with Benefits,https://www.youtube.com/embed/iJS-wWqVAyk,https://upload.wikimedia.org/wikipedia/en/4/4e/Friends_with_benefits_poster.jpg,2011-07-22
50,Bad Teacher,https://www.youtube.com/embed/VihlsPKMh4U,https://upload.wikimedia.org/wikipedia/en/b/b2/Bad_Teacher_Poster.jpg,2011-06-24
51,The Intern,https://www.youtube.com/embed/ZU3Xban0Y6A,https://upload.wikimedia.org/wikipedia/en/c/c9/The_Intern_Poster.jpg,2015-09-25
52,Taken,https://www.youtube.com/embed/3Tz9tQr1Zgo,https://upload.wikimedia.org/wikipedia/en/e/ed/Taken_film_poster.jpg,2009-01-30
53,Gone Girl,https://www.youtube.com/embed/Ym3LB0lOJ0o,https://upload.wikimedia.org/wikipedia/en/0/05/Gone_Girl_Poster.jpg,2014-09-26
54,The Imitation Game,https://www.youtube.com/embed/S5CjKEFb-sM, https://upload.wikimedia.org/wikipedia/en/5/5e/The_Imitation_Game_poster.jpg,2014-11-28
55,Taken 2,https://www.youtube.com/embed/VpaT8NzkLgE,https://upload.wikimedia.org/wikipedia/en/f/f0/Taken_2_Poster.jpg,2012-10-05
56,Foxcatcher,https://www.youtube.com/embed/8361stZ8n0w,https://upload.wikimedia.org/wikipedia/en/a/ae/Foxcatcher_First_Teaser_Poster.jpg,2014-11-14
57,Mad Max: Fury Road,https://www.youtube.com/embed/hEJnMQG9ev8,https://upload.wikimedia.org/wikipedia/en/6/6e/Mad_Max_Fury_Road.jpg,2015-05-07
58,Taken 3,https://www.youtube.com/embed/JuU0M2xBasc,https://upload.wikimedia.org/wikipedia/en/6/6f/Taken_3_poster.jpg,2015-01-21
59,Creed,https://www.youtube.com/embed/Uv554B7YHk4,https://upload.wikimedia.org/wikipedia/en/2/24/Creed_poster.jpg,2015-11-25
60,Max,https://www.youtube.com/embed/4tgxoas-36Y,https://upload.wikimedia.org/wikipedia/en/d/d9/Max_poster.jpg,2015-06-26
