topic_id,description
1,Action
2,Adventure 
3,Animation 
4,Biography 
5,Comedy 
6,Crime 
7,Documentary 
8,Drama 
9,Family 
10,Fantasy 
11,Film-Noir 
12,History 
13,Horror 
14,Music 
15,Musical 
16,Mystery 
17,Romance 
18,Sci-Fi 
19,Thriller
20,War 
